Name;ID;Content;Comments;Retweet;Likes
Alejandro López Mora;AlejoLopezMora;"Somos un pueblo sin memoria por estamos condenados a repetir lo que ya hemos vivido. Anoche al igual que en el 77 el toque de queda y los ""saqueos"" son para deslegitimar la protesta.
#23NParoNacional pic.twitter.com/FH9nABI0dS";18;651;942
Andrea  ??;LaRabicortica;Nosotros dizque esperando que los vándalos entraran a nuestra casa y resulta que se nos metieron fue en la casa de Nariño ;3;188;557
Una tipa cualquiera;monicamartin96;Cesó la horrible noche y paro continúa ;3;96;288
Alison ????;rusinwhat;"Anoche todo confirmamos que ""nos regalan miedo para vendernos seguridad"" por eso es hoy más juntos que nunca debemos estar. ";5;235;514
Jesús Andrés Díaz Arrieta;AltivoxAndre;hoy es el día!!! ;4;44;66
Gabriel Ramón;Cosmecastell;"Bogotá hoy amanece con 5 tendencias que demuestran que no nos tragamos el montaje. 

#TeoríaDelPánico 
#EsElEstado 
#PanicoInducidopic.twitter.com/PZHoS9Dp5H";4;208;377
Divier Padilla;DIVIERPADILLA;Mañana Paro Nacional con más razón para protestar. Por que ESTO ES UN MONTAJE DEL ESTADO ;;26;120
@AdelitaSM;adelitaSM;"Queda demostrado que el peligro más grande que tiene Colombia es el gobierno y sus cómplices Fiscalía, Policía Nacional, Esmad, Militares, Inpec ............ 

El paro debe continuar desde la resistencia #ParoNacionalColombia  #23NParoNacional";6;147;290
Juliana Castellano;twdejuliana;#URGENTE De este #23NParoNacional concluí que gracias a Dios deje de ver TV Nacional hace rato, así que de esas “figuras públicas” llamados Actores y Actrices, me resbalan sus opiniones sesgadas y oportunistas.;;20;87
????? ???;CEDP1977;TODO ES UN MONTAJE DEL ESTADO ;;5;9
FARC;PartidoFARC;"Por un país para todos y todas. ParoNacional rechazando la violencia de quienes quieren atacar la movilización legítima de la gente del común.

El cuidado y la empatía generarán los cambios que necesita este país. pic.twitter.com/UDkW5debzJ";11;68;250
Duber;uribeduber;Nuestros honorables policías colaborando con saqueos #23NParoNacional pic.twitter.com/cG157H0C6T;2;32;37
fecode;fecode;"Han hecho trizas la paz, mientras generan un estado de miedo y zozobra.
Duque, su gobierno y la policía le deben muchas respuestas a los colombianos, porque el descontento ciudadano crece producto de sus malas decisiones. Amanece #23NParoNacional. Estamos por el diálogo pronto.";41;288;609
Sergio Alzate;ColorLenteja;"ParoNacional hoy esto sigue, bebeses, así me quede sin ollas y sin cucharas, así me salgan ampollas en los pies y en las manos, así me de gripa por tanto mojarme, voy a seguir, porque mi única arma es mi rabia y mis ollitas. 

¡El paro no se rinde, carajo!";5;70;305
Trilce Gora;GoraTrilce;La normalidad es violenta!  ;1;17;36
RepúblicaDeLatinoamérica;ManuelBeltrn14;"Esta noche debe ser otra jornada de cacerolazo en los barrios. Que Duque se dé cuenta de que su estrategia de terror fracasó. 

Todo es un montaje del Estado
#23NParoNacional";1;50;105
@AdelitaSM;adelitaSM;"¿Donde estaban ayer todos los militares y policías que llegaron a Bogotá antes del 21 de Noviembre? 

Que raro que para defender al pueblo de los ""vándalos"" no aparecieron.  

Ahora más que nunca el paro debe continuar #ParoNacionalColombia #ElParoDebeSeguir #23NParoNacional pic.twitter.com/mgZyIqiYxR";15;150;368
Lucas K;Lucas_Restrepo;"Se acabó el miedo.
#ElParoSigue #23NParoNacional pic.twitter.com/ZO6MJ6JlYa";;25;62
Ían Schnaida;IanSchnaida;"¿Cómo explicar que agentes de la Policía estuvieran en las calles quebrando vidrios y dañando automóviles en vez de cuidar? 

Mi columna en @LaOrejaRoja #23NParoNacional 
#teoriadelpanicohttps://www.laorejaroja.com/fue-el-toque-de-queda-un-gran-falso-positivo-todo-es-un-montaje-del-estado/ …";2;180;226
Heidy Sánchez;Heidy_UP;no dejemos que la esperanza caiga, nuestra protesta es por la alegría, por el mejor mañana. Que la creatividad sea nuestra principal característica. pic.twitter.com/yNNaoH7LzD;2;58;101
OscarE;oscaredoca;"No hay derecho con lo que hicieron anoche en Bogotá. Nos llenaron de pánico, hicieron que le creyeramos al miedo.

¡Más razones para marchar!

#23NParoNacional";2;70;211
Natalia ?;Natalia_Lvcd;Amigos ¿cómo se sienten por haber caído en la farsa de anoche?, no se ustedes pero si antes estaba en desacuerdo con este gobierno, hoy me da ASCO #23NParoNacional;2;22;93
@AdelitaSM;adelitaSM;"Allanamientos injustificados

Militarización de la ciudad

Fuerza desmedida del Esmad

Vándalos pagos 

Policía criminal en las calles

Están asustados del poder del pueblo, por eso toman medidas para callarnos pero no lo van a lograr. EL PARO CONTINUA #23NParoNacional";4;129;244
 ???? Fredy Murcia  ????;FREDYMB;Hoy quiero contar algo, tal vez muy importante: hay una tierra, tierra linda en verdad, se llama Boyacá. Sus habitantes, no todos claro está, SALIERON A MARCHAR, A PARAR! y todo ha transcurrido en mucha calma. #23NParoNacional #Cacerolazo23N;3;8;42
León™;betamaxpower;"Si señores!!!!

Seguimos en paro!!!!

#23NParoNacional pic.twitter.com/MeFN8n3YFS";;11;44
Joan Sebastian ?;Joanse_;Hoy amanecí más emputado con este gobierno de mierda y su #teoriadelpanico fallida anoche, fue tan obvio cuando a las 11pm nos habían atcado a todos al tiempo... TODO FUE UN MONTAJE DEL ESTADO #ElParoDebeSeguir #HastaQueRenuncieDuque #23NParoNacional;2;49;87
DANIEL CAICEDO;Danielc7m;ME NIEGO rotundamente a comerme el cuento de la “seguridad” que nos vende el estado, que nos vende el uribismo.  no les creo, no los quiero, no les creeré, ni los querré, adiós uribismo, afuera Duque. @IvanDuque  renuncie. ;1;28;56
Jack Daniel Cely;DanielCelyOsp;"Ese hijueputa gobierno hizo que todos durmieran en mi casa así hoy
TODO ES UNA MONTAJE DEL ESTADO
Y de esa institución tan desprestigiada como lo es la policía.
Vamos a parar este gobierno a ver si a ese cerdo le quedan ganas de jugar con nosotros. #23NParoNacional pic.twitter.com/R8HcPyo8aX";1;2;33
