Name;ID;Content;Comments;Retweet;Likes
CiudadaníasPazColombia;CPazColombia;Bristol Inglaterra #21NSomosTodos  #ParoNacional #paro21denoviembrepic.twitter.com/cFa5YUtZeP;;12;88
Otto Berchem;Berchem;Curfew in Cali = caserolazo in Chapinero. #21NSomosTodos #21n #caserlozo #chapinero pic.twitter.com/tAzOHymKQA;;;2
Ay Pero Que Idiota.;Emprend67711646;Frio????#21NSomosTodos pic.twitter.com/IlSVnoH9Vv;;3;4
ZAPATISTA;socialAk47;New York Colombians join the dozens of cities and thousands of Colombians that are participating today in #21NSomosTodos.   Colombians demand the resignation of  @IvanDuque and denounce fascist repressionpic.twitter.com/JvSnxEeNZg;;22;34
.;jlawforcex;"Barranquilla snapped, the heat didn't stop us. WE SERVED paro nacional
#21NSomosTodos pic.twitter.com/gtMAIHLtbW";;1;5
Visual Chef;chef_visual;"I shoot  people for a living
#TheyGotCaught #21NSomosTodos #malamjumatpic.twitter.com/zM8ildSWcH";;2;5
Xingu;VeraghaenneG;Another #video of #protests in #medellin #21NSomosTodos  #ParoNacionalpic.twitter.com/AOhRjnHKL2;;4;14
VALENTINA.;valecortes914;"Ready
 #21Nov #Somosestudiantes #Queremospaz #21NSomosTodos #VivaElParoNacional #VivalaRevolucion #Bogotápic.twitter.com/d5GOzcm2P0";;;3
alejandra;jdjskaldhsja;A.C.A.B #21NSomosTodos #DuqueChao #AsiVaElParopic.twitter.com/iEg1MOPVUh;1;6;22
teleSUR English;telesurenglish;"#Colombia | Several sectors of Colombian society continue with the nationwide protest against the government of #IvanDuque.

#21NSomosTodos #ParoNacional #YoParoEl21NSinMiedo #MarchaEnPazpic.twitter.com/vfspIKXt2K";;38;63
Félix Julián ?;felixjjaimesq;;;3;11
Morgenstjerne;morgensternlied;#21NSomosTodos under the heavy rain pic.twitter.com/W1sGVw1MMW;;1;3
|??? Luisa María ??? ???? |;LuuMaa_96;"Asies

#21NSomosTodos pic.twitter.com/0iOH3JqAGP";2;20;80
Jose Niño;J0S3N1J;#21NSomosTodos  this is UIS-Socorro pic.twitter.com/lXi3fT5IH2;;6;24
// Alej // ????;yflowerufeast;"This is so powerful, the reality of the Colombian people.

#paro21denoviembre
#ParoNacional
#21NSomosTodos pic.twitter.com/btHPE3COf7";6;262;598
nath met tøp;nathzaslavski;Asies. #21NSomosTodos pic.twitter.com/dtMnLEJWB2;;13;38
Javier Guzmán;Crespokun;Neiva! #21NSomosTodos pic.twitter.com/q8cxhcBW1d;;1;5
Valentina ?? ????;Val3BLR;"Parce. 
#21NSomosTodos pic.twitter.com/q8cBdIGVZK";;81;287
Andre Daza;andredaza08;"Literal. 
#AsiVaElParo #ParoNacional #21NSomosTodos pic.twitter.com/W4IJJykXyc";1;29;98
LT1iscomingbitch????;Kissycamz18;"Proud
We made it!
#21NSomosTodos pic.twitter.com/W4sDZ0YLNu";;;7
Yira Aristizábal;latinapuntocom;"I'm not crying. 
You are crying! 
#21NSomosTodos https://twitter.com/Bogota__DC/status/1197581516618051585 …";;;2
Jose Acevedo;tafidi_di;"Top Twitter Trend Today: #21NSomosTodos
 Currently trending at #4 with 94K tweets
 Started trending about 5 hours ago.
(via https://trends24.in/ )";;;
Parceros United;ParcerosUnited;"Wishing our beautiful country peace as millions of Colombians go to the streets to voice their opinions on the government. 

#21NSomosTodos #ParoNacional21Npic.twitter.com/9vxiWASdPN";;105;230
le*flac;elflacosebas;#21NSomosTodos on Twitter at 18:12. #dataviz #diasporasfromriotspic.twitter.com/PmZZeIFUK5;;1;10
