Name;ID;Content;Comments;Retweet;Likes
Alejandra Badillo L.;ABadilloLugo;"Time Square, NYC. 

¡La lucha sigue! 

#ParoNacionalColombia pic.twitter.com/j9QUrEmbXH";;;1
Danna Morales. ? ?;Danna_morales04;DIFUNDIR #22Nov #ParoNacionalColombia #ToqueDeQueda #ReportoEnCitypic.twitter.com/rHW5SuZYw5;2;3;6
Naty;NatyNefesh;#ReportoEnCity #Cacerolazo22N  #ParoNacionalColombia calle 153 pic.twitter.com/VpeSr6Ytek;2;25;61
mv;mvcantillo;Lean esto PLS!!!!! #ParoNacional #ParoNacionalColombia pic.twitter.com/5B9cLjoLcB;;10;12
nonouzi;Gerrrty;"#Colombia: Police fire tear gas as #Bogotá is placed under curfew #ParoNacional 
#ParoNacionalColombia 
 pic.twitter.com/6lkYarKh1c";;26;21
The Bogota Post;BogotaPost;"The military are on the streets of Chapinero, 39 and Séptima. They appear to be relaxed for now, but some are in position.

#ElParoContinua #23Nov #ParoNacionalColombia pic.twitter.com/2hglb9Bnz1";;4;12
Yayo;yahirgarzon5;"Oink Oink...

#ParoNacionalColombia #ElParoSiguehttps://twitter.com/fernandaforerog/status/1198027695285624832 …";1;1;5
Nicolás  ??;ItsNicoMcFly;"Lo positivo de anoche fue que nos dimos cuenta que fue falso.
See what I'm doing here, (falso - positivo) yeah I'm evil.

#ParoNacionalColombia #23N";;;1
LE;dizizle9;FACTS #23N #ParoNacionalColombia #22Nov #22NParoNacional #ReportoEnCity #reporteroencity #ElParoApenasComienza #ElParoTieneQueSeguir #elparosigue  #ParoNacional #parohttps://twitter.com/petrogustavo/status/1198081178571595776 …;;2;13
Carlos Mora Rangel;carlosmora2267;"#ColombiaDespertó #Colombiaprotests #ParoNacionalColombia 
Somos tendencia mundial! Que el mundo nos oiga! 
Colombian people got tired of the same lies and injustice! Let the whole world hear our protest! pic.twitter.com/LacRTyhtlX";;1;6
Un Tal Santillana;santillanaian;#ParoNacional #ParoNacionalColombia #ElParoSigue  Conclusiones?pic.twitter.com/p3NJgrI2JM;;3;1
Mario Niño?;TweetsMario;#ParoNacionalColombia difundir pic.twitter.com/KcPi82TPBs;;;
Irinna M;CamilaMeritxell;@NoticiasUno  Calle 65 8:42pm #N22 #cacerolazonacional  #22NParoNacional #ParoNacionalColombia pic.twitter.com/x9FZX3Hp7E;;1;3
Cindy Castillo;cindycastillofl;Grande @Residente  #ParoNacionalColombia #22NParoNacionalhttps://twitter.com/GOYOCQT/status/1198035296891355151 …;;;3
Alejandro Duque Muñoz;duquegrafia;Cali of duty #22Nov #ParoNacionalColombia #22NParoNacional;;;3
Aída Miranda;AdaMira92518985;"Kennedy sigue marchando
#Cacerolazo22N #ParoNacionalColombia #22Nov #CityNoticiaspic.twitter.com/zgr40f6hvn";;2;5
Andrés Felipe Muñoz;pipe3dc;Present3! @tr3sdecorazon @LDSoficial @carnavalfestmed #ParoNacional21 #ParoNacionalColombia #paronacionalpic.twitter.com/13Ju5ccEkx;2;20;153
Kellin Teresa;AlejaOrtizRiver;Cali #23Noviembre CAM 4:30 PM #ParoNacionalColombia #ElParoSiguehttps://twitter.com/barbieykenco/status/1198111874694422528 …;;1;1
PS. Awqapuriq;Psuarezgu;Como son tokes ? #ElParoSigue #ParoNacionalColombia;;;1
Sharoncely;sharonnatasha18;Siga espantajopeando  esta muy bueno! #ParoNacionalColombia pic.twitter.com/hTm6KoljBD;3;10;12
Mayitax ?? ?? ?? ??? ?? ??;mayasoft24;Quillita! #Cacerolazo22N #ParoNacionalColombia pic.twitter.com/bLyNzpQ7Y1;3;47;148
Laura Prepon;LauraCastanoGir;"#ParoNacionalColombia 
En #Manizales acabamos cucharas y cacerolas. pic.twitter.com/84qgass7S7";1;22;115
Carlos!;carlos98ardila;"¡ATENCIÓN!!!!! 

¡EL ESMAD ACABA DE ATACAR LA MOVILIZACIÓN PACÍFICA QUE PASABA POR LA ESTACIÓN DE HEROES CON GASES LACRIMÓGENOS Y BOMBAS CUANDO TODOS SE MOVILIZABAN PACÍFICAMENTE!!!!!!!!!

¡AYUDA, DIFUNDIR!!!!!!!!!
#Cacerolazo22N #Paro22N #ParoNacionalColombia";3;360;884
Willander Pushaina;WillPushaina;| Se metieron con la generación que no permite la corrupción así que #ElParoDebeSeguir #ParoNacionalColombia #23novembre  por una #Colombia diferente.pic.twitter.com/i4azeeal0D;25;273;419
Stefanny Mendieta;JuliMendieta02;#22Nov #ElParoDebeSeguir #ElParoDebeSeguir #TODOESUNMONTAJEDELESTADO #22Nov #ParoNacionalColombia pic.twitter.com/QU8O9pSRjH;1;34;27
VanessaVallejo;vanesavallejo3;"Vecinos aplauden a nuestros militares y policías. 

GRACIAS. Ustedes son héroes que dan su vida por defendernos. #ParoNacionalColombia pic.twitter.com/w1ozMDgrYs";39;524;1.1K
KIC.;WilmerCaicedoC;"El mismo truco viejo. De memoria conocemos el guión de esa película.

Todo es un montaje del estado
#ElParoDebeSeguir #ParoNacionalColombia pic.twitter.com/p2JAoY9izw";4;68;103
M A R T I N;immartinw;"NO AL MIEDO TODO ES UN MONTAJE DEL ESTADO
#ParoNacionalColombia
-Un vandalo floto sobre mi y saqueo un apartamento con su rayo laser pic.twitter.com/giz935NhsC";11;412;969
"??µ; ????";Lblue_Rainbow;"Colombia en su mayoría es un pueblo unido, que no va a bajar la voz. 

HOY Y SIEMPRE COLOMBIA SE MANTENDRÁ FUERTE!!
#ParoNacionalColombia
#AsiVaElParopic.twitter.com/4apE5kySBN";1;64;109
"3;";Julianajmhp;"#reporteroencity #reporteencity #ParoNacionalColombia #citytvnoticias

DIFUNDAN @Citytvhttps://twitter.com/katalinavasquez/status/1198043112469417989 …";;3;3
¤v¤ happy~virus ¤v¤;fernandaforerog;Todo es un montaje del estado #ParoNacionalColombia  #ElParoSigue #22Nov #NoMetaMiedoDuquepic.twitter.com/Klara2zdDB;64;1.4K;1.7K
